model,segment,users,precision@10,recall@10
popular,cold_users,417,0.007673860911270983,0.06994404476418864
popular,top5_states,536,0.006156716417910448,0.06063432835820896
popular,other_users,150,0.005999999999999999,0.06
popular,high_value,154,0.006493506493506494,0.05519480519480519
random,cold_users,417,0.00023980815347721823,0.002398081534772182
random,top5_states,536,0.0005597014925373135,0.005597014925373134
random,other_users,150,0.0006666666666666668,0.006666666666666667
random,high_value,154,0.0006493506493506494,0.006493506493506494
itemcf,cold_users,417,0.007673860911270983,0.06994404476418864
itemcf,top5_states,536,0.017164179104477612,0.1707089552238806
itemcf,other_users,150,0.015333333333333336,0.15333333333333332
itemcf,high_value,154,0.012987012987012988,0.11688311688311688
usercf,cold_users,417,0.007673860911270983,0.06994404476418864
usercf,top5_states,536,0.017164179104477612,0.1707089552238806
usercf,other_users,150,0.015333333333333336,0.15333333333333332
usercf,high_value,154,0.012987012987012988,0.11688311688311688
svd,cold_users,417,0.00047961630695443646,0.004796163069544364
svd,top5_states,536,0.0,0.0
svd,other_users,150,0.0006666666666666668,0.006666666666666667
svd,high_value,154,0.0006493506493506494,0.006493506493506494
als,cold_users,417,0.0,0.0
als,top5_states,536,0.01082089552238806,0.10727611940298508
als,other_users,150,0.008666666666666666,0.08666666666666667
als,high_value,154,0.006493506493506494,0.05844155844155844
content,cold_users,417,0.0026378896882494006,0.026378896882494004
content,top5_states,536,0.01082089552238806,0.10478855721393036
content,other_users,150,0.011333333333333334,0.11333333333333333
content,high_value,154,0.009090909090909094,0.09090909090909091
hybrid,cold_users,417,0.007673860911270983,0.06994404476418864
hybrid,top5_states,536,0.017164179104477612,0.1707089552238806
hybrid,other_users,150,0.014666666666666668,0.14666666666666667
hybrid,high_value,154,0.013636363636363637,0.1266233766233766
