model,segment,users,precision@10,recall@10
popular,cold_users,7304,0.0032995618838992337,0.03215133260313983
popular,top5_states,63,0.0015873015873015873,0.015873015873015872
popular,other_users,20,0.0,0.0
popular,high_value,21,0.0,0.0
random,cold_users,7304,0.0002190580503833516,0.002190580503833516
random,top5_states,63,0.0,0.0
random,other_users,20,0.0,0.0
random,high_value,21,0.0,0.0
itemcf,cold_users,7304,0.0032995618838992337,0.03215133260313983
itemcf,top5_states,63,0.0015873015873015873,0.015873015873015872
itemcf,other_users,20,0.0,0.0
itemcf,high_value,21,0.0,0.0
usercf,cold_users,7304,0.0032995618838992337,0.03215133260313983
usercf,top5_states,63,0.0015873015873015873,0.015873015873015872
usercf,other_users,20,0.0,0.0
usercf,high_value,21,0.0,0.0
svd,cold_users,7304,0.00034227820372398685,0.0034227820372398684
svd,top5_states,63,0.0,0.0
svd,other_users,20,0.0,0.0
svd,high_value,21,0.0,0.0
als,cold_users,7304,6.845564074479737e-05,0.0006845564074479737
als,top5_states,63,0.0015873015873015873,0.015873015873015872
als,other_users,20,0.0,0.0
als,high_value,21,0.0,0.0
content,cold_users,7304,0.0032037239868565174,0.031192953632712666
content,top5_states,63,0.0015873015873015873,0.015873015873015872
content,other_users,20,0.0,0.0
content,high_value,21,0.0,0.0
hybrid,cold_users,7304,0.0032995618838992337,0.03215133260313983
hybrid,top5_states,63,0.0015873015873015873,0.015873015873015872
hybrid,other_users,20,0.0,0.0
hybrid,high_value,21,0.0,0.0
