family,params,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,coverage@10,diversity@10,novelty@10
popular,{},0.00589,0.02692,0.01691,0.00668,0.06298,0.02822,0.00505,0.09719,0.03724,0.0024,0.84496,0.0608
random,{},0.00016,0.0008,0.0008,0.00016,0.00159,0.00103,0.00024,0.00477,0.00185,0.9178,0.9485,0.63432
content,{},0.01161,0.05768,0.04264,0.00796,0.0781,0.04923,0.00537,0.10594,0.0562,0.5,0.65005,0.41232
itemcf,"{""top_k"": 20, ""pop_prior"": 0.0}",0.01846,0.09109,0.0775,0.01058,0.10422,0.08176,0.00621,0.12251,0.08644,0.0974,0.88703,0.36688
itemcf,"{""top_k"": 20, ""pop_prior"": 0.05}",0.02196,0.10647,0.09139,0.01329,0.12861,0.09856,0.008,0.15566,0.10557,0.0866,0.83548,0.08864
itemcf,"{""top_k"": 20, ""pop_prior"": 0.1}",0.02196,0.10647,0.08612,0.01313,0.12702,0.09275,0.008,0.15566,0.10014,0.0678,0.84093,0.07993
itemcf,"{""top_k"": 50, ""pop_prior"": 0.0}",0.01846,0.09109,0.0775,0.01058,0.10422,0.08176,0.00621,0.12251,0.08644,0.0974,0.88703,0.36688
itemcf,"{""top_k"": 50, ""pop_prior"": 0.05}",0.02196,0.10647,0.09139,0.01329,0.12861,0.09856,0.008,0.15566,0.10557,0.0866,0.83548,0.08864
itemcf,"{""top_k"": 50, ""pop_prior"": 0.1}",0.02196,0.10647,0.08612,0.01313,0.12702,0.09275,0.008,0.15566,0.10014,0.0678,0.84093,0.07993
itemcf,"{""top_k"": 100, ""pop_prior"": 0.0}",0.01846,0.09109,0.0775,0.01058,0.10422,0.08176,0.00621,0.12251,0.08644,0.0974,0.88703,0.36688
itemcf,"{""top_k"": 100, ""pop_prior"": 0.05}",0.02196,0.10647,0.09139,0.01329,0.12861,0.09856,0.008,0.15566,0.10557,0.0866,0.83548,0.08864
itemcf,"{""top_k"": 100, ""pop_prior"": 0.1}",0.02196,0.10647,0.08612,0.01313,0.12702,0.09275,0.008,0.15566,0.10014,0.0678,0.84093,0.07993
itemcf,"{""top_k"": 200, ""pop_prior"": 0.0}",0.01846,0.09109,0.0775,0.01058,0.10422,0.08176,0.00621,0.12251,0.08644,0.0974,0.88703,0.36688
itemcf,"{""top_k"": 200, ""pop_prior"": 0.05}",0.02196,0.10647,0.09139,0.01329,0.12861,0.09856,0.008,0.15566,0.10557,0.0866,0.83548,0.08864
itemcf,"{""top_k"": 200, ""pop_prior"": 0.1}",0.02196,0.10647,0.08612,0.01313,0.12702,0.09275,0.008,0.15566,0.10014,0.0678,0.84093,0.07993
usercf,"{""pop_prior"": 0.0}",0.01862,0.09189,0.07875,0.01058,0.10422,0.08276,0.00621,0.12251,0.08744,0.0974,0.88572,0.3661
usercf,"{""pop_prior"": 0.05}",0.02228,0.10806,0.09273,0.01329,0.12861,0.09938,0.00796,0.15487,0.10621,0.0936,0.83152,0.09717
usercf,"{""pop_prior"": 0.1}",0.02228,0.10806,0.09273,0.01329,0.12861,0.09938,0.00796,0.15487,0.10621,0.0936,0.83152,0.09717
svd,"{""k"": 10, ""reg"": 0.02, ""lr"": 0.01}",0.00064,0.00318,0.00211,0.00032,0.00318,0.00211,0.00024,0.00477,0.00251,0.0114,0.98329,0.50732
svd,"{""k"": 10, ""reg"": 0.05, ""lr"": 0.01}",0.00048,0.00239,0.00131,0.00024,0.00239,0.00131,0.0002,0.00398,0.00172,0.0116,0.98418,0.51315
svd,"{""k"": 20, ""reg"": 0.02, ""lr"": 0.01}",0.00032,0.00159,0.0009,0.00024,0.00239,0.00114,0.00028,0.00557,0.00192,0.0252,0.98255,0.50156
svd,"{""k"": 20, ""reg"": 0.05, ""lr"": 0.01}",0.00032,0.00159,0.001,0.00032,0.00318,0.00148,0.00032,0.00636,0.00222,0.0198,0.98359,0.50819
svd,"{""k"": 40, ""reg"": 0.02, ""lr"": 0.01}",0.00064,0.00318,0.00269,0.0004,0.00398,0.00293,0.0004,0.00756,0.00385,0.047,0.97279,0.50378
svd,"{""k"": 40, ""reg"": 0.05, ""lr"": 0.01}",0.00064,0.00318,0.00269,0.0004,0.00398,0.00293,0.00032,0.00597,0.00347,0.0444,0.97343,0.51978
svd,"{""k"": 20, ""reg"": 0.05, ""lr"": 0.005}",0.0008,0.00398,0.00274,0.0004,0.00398,0.00274,0.00044,0.00796,0.00376,0.018,0.95594,0.43881
als,"{""k"": 10, ""reg"": 5}",0.00652,0.03142,0.01972,0.00517,0.05052,0.02622,0.00457,0.0899,0.03635,0.0168,0.8812,0.35797
als,"{""k"": 10, ""reg"": 10}",0.00621,0.02983,0.01781,0.00541,0.0529,0.02519,0.00398,0.07796,0.03146,0.016,0.89746,0.34491
als,"{""k"": 10, ""reg"": 20}",0.0027,0.01273,0.0089,0.00167,0.01591,0.00993,0.00139,0.02625,0.01246,0.0152,0.85364,0.4095
als,"{""k"": 20, ""reg"": 5}",0.00939,0.04614,0.03463,0.00613,0.06006,0.03931,0.00434,0.08512,0.04546,0.0178,0.92822,0.37876
als,"{""k"": 20, ""reg"": 10}",0.00923,0.04495,0.02952,0.00644,0.06325,0.03566,0.00398,0.07836,0.03959,0.018,0.89729,0.34827
als,"{""k"": 20, ""reg"": 20}",0.00318,0.01512,0.01094,0.00286,0.02705,0.01457,0.00215,0.04057,0.01788,0.0172,0.84103,0.41856
als,"{""k"": 40, ""reg"": 5}",0.01082,0.0533,0.04074,0.00581,0.05728,0.04199,0.00406,0.08035,0.04759,0.0228,0.92969,0.40342
als,"{""k"": 40, ""reg"": 10}",0.0113,0.05569,0.03535,0.00716,0.07041,0.04008,0.00446,0.08751,0.04431,0.0182,0.90033,0.35173
als,"{""k"": 40, ""reg"": 20}",0.00414,0.01949,0.0121,0.00485,0.04654,0.02057,0.0037,0.0716,0.02676,0.016,0.85503,0.41832
hybrid,"{""itemcf"": 0.4, ""content"": 0.25, ""als"": 0.15, ""svd"": 0.1, ""popular"": 0.1}",0.02116,0.10289,0.0853,0.01368,0.13299,0.09501,0.00851,0.1664,0.10338,0.1122,0.83776,0.09806
hybrid,"{""itemcf"": 0.55, ""content"": 0.15, ""als"": 0.1, ""svd"": 0.1, ""popular"": 0.1}",0.02212,0.10727,0.08943,0.01321,0.12782,0.09602,0.00819,0.15964,0.10408,0.08,0.85198,0.08441
hybrid,"{""itemcf"": 0.35, ""content"": 0.3, ""als"": 0.15, ""svd"": 0.1, ""popular"": 0.1}",0.02116,0.10289,0.08367,0.01329,0.12901,0.09216,0.00863,0.16773,0.10194,0.1276,0.82555,0.10619
hybrid,"{""itemcf"": 0.3, ""content"": 0.2, ""als"": 0.25, ""svd"": 0.1, ""popular"": 0.15}",0.01973,0.09573,0.07825,0.01225,0.11867,0.08582,0.00811,0.15805,0.09581,0.0676,0.85861,0.08888
hybrid,"{""itemcf"": 0.3, ""content"": 0.15, ""als"": 0.1, ""svd"": 0.05, ""popular"": 0.4}",0.01655,0.07942,0.05808,0.01122,0.10833,0.06739,0.00768,0.1493,0.07787,0.0216,0.84853,0.065
